pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.05,15,8,2,0.709011285116299,0.7092398657483139,0.5000049994468765,0.9999883616602258,0.9999883708025015,0.9999800022770499,1.609981046081644e-8,9.63849744228227e-10,1.9997722950138013e-5,3.922814432688391e-8,2.3510811238181637e-9,1.9998122864350876e-5
0.05,16,8,2,0.709054938500432,0.7091920874532006,0.5000024997102647,0.9999941817612664,0.9999941845039332,0.9999900011885134,4.684160344653627e-9,2.802951321277772e-10,9.998811486555678e-6,1.1415650116162813e-8,6.835546121004498e-10,9.998911463582335e-6
0.05,17,8,2,0.7090813369860005,0.7091636265270055,0.5000012498488894,0.9999970911591306,0.9999970919819282,0.9999950006067537,1.3627096648098283e-9,8.152001973017655e-11,4.9993932462744076e-6,3.321450679843799e-9,1.9877511239760063e-10,4.99941824028127e-6
0.05,18,8,2,0.7090972792768118,0.7091466530448888,0.5000006249093515,0.9999985456629027,0.9999985459097416,0.999997500306501,3.964159490489629e-10,2.3710370582368554e-11,2.4996934989696125e-6,9.662937157608654e-10,5.780964914780799e-11,2.499699747304795e-6
0.05,19,8,2,0.7091068962083764,0.7091365205018062,0.500000312432859,0.9999992728563996,0.9999992729304512,0.9999987501540315,1.1531466581135494e-10,6.8964808877793324e-12,1.2498459684984196e-6,2.81101283237608e-10,1.6813889694589222e-11,1.249847530471193e-6
0.05,20,8,2,0.7091126921724175,0.7091304667240504,0.500000156249838,0.999999636435671,0.9999996364578865,0.999999375077211,3.3543572690902415e-11,2.005976177074881e-12,6.249227889609798e-7,8.177109312045253e-11,4.8905047107044515e-12,6.249231795374398e-7
0.06,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.06,1,8,2,0.6187833918061408,0.8869204367171575,0.5488116360940264,0.6187833918061408,0.8869204367171575,0.5488116360940264,0.38121660819385916,0.11307956328284252,0.4511883639059736,0.6187833918061408,0.8869204367171575,0.5488116360940264
0.06,2,8,2,0.6045052277103722,0.7890360848768909,0.4743556478507899,0.8215573607572773,0.9048155362924057,0.7628353847573824,0.1507691756506546,0.02385570739055983,0.23716461524261756,0.23044743254320457,0.08922385589228268,0.21402374866335605
0.06,3,8,2,0.6099262228611984,0.7263509775959343,0.44073476930572253,0.9074883027286416,0.9351001348900213,0.8673620767438179,0.05881110182215428,0.006528091006184144,0.13263792325618207,0.09195807382850031,0.017327616384375688,0.1045266919864355
0.06,4,8,2,0.6165885082704899,0.688074822918153,0.42325388754761434,0.949145095984443,0.958626892300547,0.9235015933982391,0.02254885227988828,0.0020362759431104016,0.07649840660176087,0.036262249542266,0.004491815063073742,0.0561395166544212
0.06,5,8,2,0.6215885679368888,0.6649920636686467,0.41356143635533776,0.9710521284072815,0.9743724266717073,0.955138384311358,0.008532743482612074,6.821686015025958e-4,0.044861615688642,0.014016108797276206,0.0013541073416078056,0.03163679091311887
0.06,6,8,2,0.624910902435541,0.6511225409540514,0.40800312343602524,0.9831728970560637,0.9843487935098507,0.9734420636347105,0.0032005390526419816,2.3799324833315388e-4,0.02655793636528947,0.005332204429970093,4.4417535316944193e-4,0.01830367932335253
0.06,7,8,2,0.6270129751741748,0.6427980161469731,0.40475513771334193,0.9900942343295971,0.9905134524432762,0.9841915248256254,0.001193759539083798,8.501166044822866e-5,0.01580847517437456,0.0020067795135581836,1.529815878849252e-4,0.01074946119091491
0.06,8,8,2,0.6283118645595424,0.6378031703723205,0.40283655014061137,0.99412417733828,0.9942742204105937,0.990559756427854,4.43706257246317e-4,3.079095389573322e-5,0.00944024357214601,7.50053281837481e-4,5.4220706552495445e-5,0.0063682316022285485
0.06,9,8,2,0.6291044452874045,0.6348063991076686,0.401696040125703,0.9964986556236869,0.9965524834565873,0.9943518648886072,1.6456867841082234e-4,1.1244659328092575e-5,0.005648135111392837,2.7913757883549467e-4,1.9546294567640644e-5,0.0037921084607531732
0.06,10,8,2,0.6295846983881627,0.6330084240942484,0.4010155168408767,0.997907844329169,0.9979271819945413,0.9966168547094895,6.0958756649406225e-5,4.126695247340004e-6,0.003383145290510536,1.0360992176141611e-4,7.1179640807525706e-6,0.002264989820882301
0.06,11,8,2,0.629874530251444,0.631929678923862,0.40060855431713516,0.9987478117601222,0.9987547646266746,0.9979721716533657,2.256238844014939e-5,1.518914044671808e-6,0.0020278283466342857,3.8396368209256836e-5,2.6077812026681964e-6,0.0013553169438762502
0.06,12,8,2,0.6300490312431453,0.6312824479305452,0.40036486111222097,0.99924980293869,0.999252304096012,0.9987840428677254,8.346977460901727e-6,5.600502683553036e-7,0.0012159571322746252,1.4215410979247662e-5,9.588637763165044e-7,8.118712143596605e-4
0.06,13,8,2,0.6301539478839401,0.6308941155136263,0.40021881906562773,0.9995502830550859,0.9995511830671943,0.9992706917952388,3.0870966610162377e-6,2.0671784965811526e-7,7.293082047612475e-4,5.259880799885489e-6,3.533324186971883e-7,4.8664892751337774e-4
0.06,14,8,2,0.630216975509399,0.6306611183698276,0.40013125633098734,0.9997303142062576,0.9997306381232898,0.9995625108034624,1.14155594020542e-6,7.634893940572241e-8,4.374891965376325e-4,1.945540720810818e-6,1.3036891025239285e-7,2.9181900822361495e-4
0.06,15,8,2,0.6302548200061966,0.6305213209313777,0.4000787411656688,0.9998382404782808,0.9998383570695565,0.9997375409304867,4.2208480658424843e-7,2.82093052799166e-8,2.6245906951327663e-4,7.194711336211715e-7,4.813963412580581e-8,1.750301270243559e-4
0.06,16,8,2,0.6302775367498189,0.6304374427770334,0.40004724015252296,0.9999029629863172,0.9999030049551043,0.9998425369568985,1.560542343908046e-7,1.0425102996729312e-8,1.5746304310149115e-4,2.660305721934438e-7,1.7784202283187288e-8,1.0499602641178549e-4
0.06,17,8,2,0.6302911704107291,0.6303871159967301,0.400028342455285,0.9999417845226314,0.9999417996305153,0.9999055266370284,5.769462834907411e-8,3.853252384652252e-9,9.447336297163653e-5,9.835960604173048e-8,6.57185061207706e-9,6.298968012985462e-5
0.06,18,8,2,0.6302993519082037,0.6303569199702419,0.40001700488368236,0.999965073136482,0.9999650785751304,0.9999433175887256,2.1329741492068018e-8,1.4243280795948688e-9,5.66824112744335e-5,3.636488685700609e-8,2.428924305057383e-9,3.779095169720303e-5
0.06,19,8,2,0.630304261274611,0.6303388023672661,0.40001020271691357,0.9999790447540912,0.9999790467119636,0.9999659911315499,7.885514537731666e-9,5.265188237249711e-10,3.400886845006389e-5,1.3444226954336352e-8,8.978092558698977e-10,2.2673542824369612e-5
0.06,20,8,2,0.6303072070630286,0.6303279318101409,0.400006121556891,0.9999874271664381,0.9999874278712633,0.9999795948871172,2.915217893199111e-9,1.946393025073019e-10,2.0405112882815314e-5,4.970296644532555e-9,3.318795212176692e-10,1.3603755567248573e-5
0.07,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.07,1,8,2,0.5712090638488149,0.8693582353988059,0.4965853037914095,0.5712090638488149,0.8693582353988059,0.4965853037914095,0.42879093615118513,0.13064176460119414,0.5034146962085905,0.5712090638488149,0.8693582353988059,0.4965853037914095
0.07,2,8,2,0.5476421150803472,0.7522890456605997,0.4100404536529831,0.7722763927856124,0.8752986651736908,0.7030056942003586,0.193966960950068,0.03236139618594508,0.29699430579964137,0.23482397520111714,0.09828036841524906,0.2064203904089491
0.07,3,8,2,0.5455692222145577,0.674363479402558,0.36797272836967515,0.8650366466176215,0.9032878076221521,0.8122914992157103,0.08814455692921791,0.010538052455666485,0.18770850078428966,0.10582240402085008,0.021823343730278597,0.1092858050153517
0.07,4,8,2,0.5457666792750426,0.6246888909871704,0.3440388091150972,0.9147365443604488,0.9295509143995127,0.8768705082863176,0.0400381947977887,0.003955048153971561,0.12312949171368236,0.04810636213142921,0.006583004301694923,0.0645790090706073
0.07,5,8,2,0.5453376694716595,0.5931899134766025,0.32931838689299,0.9440176583406872,0.9499096808223749,0.9174193138764213,0.018203858956910287,0.0016089534817213742,0.0825806861235787,0.021834335840878415,0.002346094672250187,0.040548805590103654
0.07,6,8,2,0.5442490556852904,0.5731233872804049,0.3198479855113643,0.9623637743170224,0.9647482364315066,0.9438325799751942,0.008296425909783649,6.868246123006191e-4,0.056167420024805785,0.009907433047126638,9.22128869420755e-4,0.026413266098772918
0.07,7,8,2,0.5428640376126228,0.560245089715646,0.3135824285501208,0.9743238523921444,0.9753001012460879,0.9614456959519675,0.00379259464264452,3.02034495763345e-4,0.0385543040480325,0.004503831267139129,3.847901165372741e-4,0.017613115976773286
0.07,8,8,2,0.5414650105731899,0.5519141289401667,0.30936140023665615,0.9823215026009774,0.9827243610875317,0.9733729094374166,0.0017390373443651817,1.3533739012423597e-4,0.02662709056258339,0.002053557298279338,1.6669710563910903e-4,0.01192721348544911
0.07,9,8,2,0.540205669759688,0.5464828551661963,0.30648329407297104,0.9877570147285288,0.9879241579128261,0.9815336678646165,7.995995110152796e-4,6.137782675840211e-5,0.018466332135383512,9.394378333499021e-4,7.395956336583386e-5,0.008160758427199877
